Sr. No,Symbol,Name of the company
1,20MICRONS,20 Microns Limited 
2,3IINFOTECH,3i Infotech Limited 
3,3MINDIA,3M India Limited 
4,A2ZMES,A2Z Maintenance & Engineering Services Limited 
5,AANJANEYA,Aanjaneya Lifecare Limited 
6,AARTIDRUGS,Aarti Drugs Limited 
7,AARTIIND,Aarti Industries Limited 
8,AARVEEDEN,Aarvee Denims & Exports Limited 
9,ABAN,Aban Offshore Limited 
10,ABB,ABB Limited 
11,ABCIL,Aditya Birla Chemicals (India) Limited 
12,ABGSHIP,ABG Shipyard Limited 
13,ABIRLANUVO,Aditya Birla Nuvo Limited 
14,ACC,ACC Limited 
15,ACE,Action Construction Equipment Limited 
16,ACKRUTI,Ackruti City Limited 
17,ADANIENT,Adani Enterprises Limited 
18,ACROPETAL,Acropetal Technologies Limited 
19,ADANIPOWER,Adani Power Limited 
20,ADFFOODS,ADF Foods Limited 
21,ADHUNIK,Adhunik Metaliks Limited 
22,ADORWELD,Ador Welding Limited 
23,ADSL,Allied Digital Services Limited 
24,ADVANIHOTR,Advani Hotels & Resorts (India) Limited 
25,ADVANTA,Advanta India Limited 
26,AEGISCHEM,Aegis Logistics Limited 
27,AFL,Accel Frontline Limited 
28,AFTEK,Aftek Limited 
29,AGCNET,AGC Networks Limited 
30,AGRODUTCH,Agro Dutch Industries Limited 
31,AHLEAST,Asian Hotels (East) Limited 
32,AHLUCONT,Ahluwalia Contracts (India) Limited 
33,AHLWEST,Asian Hotels (West) Limited 
34,AHMEDFORGE,Ahmednagar Forgings Limited 
35,AIAENG,AIA Engineering Limited 
36,AICHAMP,AI Champdany Industries Limited 
37,AJANTPHARM,Ajanta Pharma Limited 
38,AJMERA,Ajmera Realty & Infra India Limited 
39,AKSHOPTFBR,Aksh Optifibre Limited 
40,AKZOINDIA,Akzo Nobel India Limited 
41,ALBK,Allahabad Bank 
42,ALCHEM,Alchemist Limited 
43,ALEMBICLTD,Alembic Limited 
44,ALFALAVAL,Alfa Laval (India) Limited 
45,ALICON,Alicon Castalloy Limited 
46,ALKALI,Alkali Metals Limited 
47,ALKYLAMINE,Alkyl Amines Chemicals Limited 
48,ALLCARGO,Allcargo Global Logistics Limited 
49,ALLSEC,Allsec Technologies Limited 
50,ALMONDZ,Almondz Global Securities Limited 
51,ALOKTEXT,Alok Industries Limited 
52,ALPHAGEO,Alphageo (India) Limited 
53,AMAR,Amar Remedies Limited 
54,AMARAJABAT,Amara Raja Batteries Limited 
55,ALPSINDUS,Alps Industries Limited 
56,AMBIKCO,Ambika Cotton Mills Limited 
57,AMBUJACEM,Ambuja Cements Limited 
58,AMDIND,AMD Industries Limited 
59,AMTEKAUTO,Amtek Auto Limited 
60,AMTEKINDIA,Amtek India Limited 
61,ANANTRAJ,Anant Raj Industries Limited 
62,ANDHRABANK,Andhra Bank 
63,ANDHRSUGAR,The Andhra Sugars Limited 
64,ANGIND,ANG Industries Limited 
65,ANIKINDS,Anik Industries Limited 
66,ANDHRACEMT,Andhra Cements Limited 
67,ANKURDRUGS,Ankur Drugs And Pharma Limited 
68,ANSALAPI,Ansal Properties & Infrastructure Limited 
69,ANSALHSG,Ansal Housing and Construction Limited 
70,ANTGRAPHIC,Antarctica Limited 
71,APARINDS,Apar Industries Limited 
72,APCOTEXIND,Apcotex Industries Limited 
73,APIL,Alstom Projects India Limited 
74,APOLLOHOSP,Apollo Hospitals Enterprise Limited 
75,APOLLOTYRE,Apollo Tyres Limited 
76,APPAPER,The Andhra Pradesh Paper Mills Limited 
77,APTECHT,Aptech Limited 
78,AQUA,Aqua Logistics Limited 
79,ARCHIDPLY,Archidply Industries Limited 
80,ARCHIES,Archies Limited 
81,AREVAT&D,Areva T&D India Limited 
82,ARIES,Aries Agro Limited 
83,ARIHANT,Arihant Foundations & Housing Limited 
84,ARL,Arvind Remedies Limited 
85,AROGRANITE,Aro Granite Industries Limited 
86,ARROWTEX,Arrow Textiles Limited 
87,ARSHIYA,Arshiya International Limited 
88,ARSSINFRA,ARSS Infrastructure Projects Limited 
89,ARVIND,Arvind Limited 
90,ASAHIINDIA,Asahi India Glass Limited 
91,ASAL,Automotive Stampings and Assemblies Limited 
92,ASHAPURMIN,Ashapura Minechem Limited 
93,ASHCONIUL,Ashco Niulab Industries Limited 
94,ASHIANA,Ashiana Housing Limited 
95,ASHIMASYN,Ashima Limited 
96,ASHOKA,Ashoka Buildcon Limited 
97,ASHOKLEY,Ashok Leyland Limited 
98,ASIANELEC,Asian Electronics Limited 
99,ASIANHOTNR,Asian Hotels (North) Limited 
100,ASIANPAINT,Asian Paints Limited
 
101,ASIANTILES,Asian Granito India Limited
 
102,ASIL,Amit Spinning Industries Limited 
103,ASSAMCO,Assam Company India Limited 
104,ASTEC,Astec LifeSciences Limited 
105,ASTERSILI,Aster Silicates Limited 
106,ASTRAL,Astral Poly Technik Limited 
107,ASTRAMICRO,Astra Microwave Products Limited 
108,ASTRAZEN,AstraZeneca Pharma India Limited 
109,ATFL,Agro Tech Foods Limited 
110,ATLANTA,Atlanta Limited 
111,ATLASCYCLE,Atlas Cycles (Haryana) Limited 
112,ATNINTER,ATN International Limited 
113,ATUL,Atul Limited 
114,AURIONPRO,Aurionpro Solutions Limited 
115,AUROPHARMA,Aurobindo Pharma Limited 
116,AUSOMENT,Ausom Enterprise Limited 
117,AUSTRAL,Austral Coke & Projects Limited 
118,AUTOAXLES,Automotive Axles Limited 
119,AUTOIND,Autoline Industries Limited 
120,AUTOLITIND,Autolite (India) Limited 
121,AVANTI,Avanti Feeds Limited 
122,AVENTIS,Aventis Pharma Limited 
123,AVTNPL,AVT Natural Products Limited 
124,AXISBANK,Axis Bank Limited 
125,AXIS-IT&T,Axis-IT&T Limited 
126,BAGFILMS,B.A.G Films and Media Limited 
127,BAJAJ-AUTO,Bajaj Auto Limited 
128,BAJAJCORP,Bajaj Corp Limited 
129,BAJAJELEC,Bajaj Electricals Limited 
130,BAJAJFINSV,Bajaj Finserv Limited 
131,BAJAJHIND,Bajaj Hindusthan Limited 
132,BAJAJHLDNG,Bajaj Holdings & Investment Limited 
133,BAJFINANCE,Bajaj Finance Limited 
134,BALAJITELE,Balaji Telefilms Limited 
135,BALAMINES,Balaji Amines Limited 
136,BALKRISIND,Balkrishna Industries Limited 
137,BALLARPUR,Ballarpur Industries Limited 
138,BALMLAWRIE,Balmer Lawrie & Company Limited 
139,BALPHARMA,Bal Pharma Limited 
140,BALRAMCHIN,Balrampur Chini Mills Limited 
141,BANARISUG,Bannari Amman Sugars Limited 
142,BANCOINDIA,Banco Products (I) Limited 
143,BANG,Bang Overseas Limited 
144,BANKBARODA,Bank of Baroda 
145,BANKINDIA,Bank of India 
146,BANSWRAS,Banswara Syntex Limited 
147,BARTRONICS,Bartronics India Limited 
148,BASF,BASF India Limited 
149,BASML,Bannari Amman Spinning Mills Limited 
150,BATAINDIA,Bata India Limited 
151,BATLIBOI,Batliboi Limited 
152,BBL,Bharat Bijlee Limited 
153,BBTC,Bombay Burmah Trading Corporation Limited 
154,BEDMUTHA,Bedmutha Industries Limited 
155,BEL,Bharat Electronics Limited 
156,BELLCERATL,Bell Ceramics Limited 
157,BEML,BEML Limited 
158,BEPL,Bhansali Engineering Polymers Limited 
159,BERGEPAINT,Berger Paints (I) Limited 
160,BFINVEST,BF Investment Limited 
161,BFUTILITIE,BF Utilities Limited 
162,BGRENERGY,BGR Energy Systems Limited 
163,BHAGWATIHO,Bhagwati Banquets and Hotels Limited 
164,BHAGYNAGAR,Bhagyanagar India Limited 
165,BHARATFORG,Bharat Forge Limited 
166,BHARATGEAR,Bharat Gears Limited 
167,BHARATRAS,Bharat Rasayan Limited 
168,BHARTIARTL,Bharti Airtel Limited 
169,BHARTISHIP,Bharati Shipyard Limited 
170,BHEL,Bharat Heavy Electricals Limited 
171,BHUSANSTL,Bhushan Steel Limited 
172,BIL,Bhartiya International Limited 
173,BILPOWER,Bilpower Limited 
174,BINANIIND,Binani Industries Limited 
175,BINDALAGRO,Oswal Chemicals & Fertilizers Limited 
176,BIOCON,Biocon Limited 
177,BIRLACORPN,Birla Corporation Limited 
178,BIRLACOT,Birla Cotsyn (India) Limited 
179,BIRLAERIC,Birla Ericsson Optical Limited 
180,BIRLAMONEY,Aditya Birla Money Limited 
181,BIRLAPOWER,Birla Power Solutions Limited 
182,BLBLIMITED,BLB Limited 
183,BLISSGVS,Bliss GVS Pharma Limited 
184,BLKASHYAP,B. L. Kashyap and Sons Limited 
185,BLUECHIP,Blue Chip India Limited 
186,BLUECOAST,Blue Coast Hotels and Resorts Limited 
187,BLUEDART,Blue Dart Express Limited 
188,BLUESTARCO,Blue Star Limited 
189,BLUESTINFO,Blue Star Infotech Limited 
190,BOC,BOC India Limited 
191,BOMDYEING,Bombay Dyeing & Mfg Company Limited 
192,BOSCHLTD,Bosch Limited 
193,BPCL,Bharat Petroleum Corporation Limited 
194,BPL,BPL Limited 
195,BRANDHOUSE,Brandhouse Retails Limited 
196,BRFL,Bombay Rayon Fashions Limited 
197,BRIGADE,Brigade Enterprises Limited 
198,BRITANNIA,Britannia Industries Limited 
199,BROADCAST,Broadcast Initiatives Limited 
200,BSELINFRA,BSEL Infrastructure Realty Limited 
201,BSL,BSL Limited 
202,BSTRANSCOM,BS TransComm Limited 
203,BURNPUR,Burnpur Cement Limited 
204,BVCL,Barak Valley Cements Limited 
205,CADILAHC,Cadila Healthcare Limited 
206,CAIRN,Cairn India Limited 
207,CALSOFT,California Software Company Limited 
208,CAMBRIDGE,Cambridge Solutions Limited 
209,CAMLIN,Camlin Limited 
210,CANBK,Canara Bank 
211,CANDC,C & C Constructions Limited 
212,CANFINHOME,Can Fin Homes Limited 
213,CANTABIL,Cantabil Retail India Limited 
214,CARBORUNIV,Carborundum Universal Limited 
215,CAROLINFO,Carol Info Services Limited 
216,CASTROL,Castrol India Limited 
217,CCCL,Consolidated Construction Consortium Limited 
218,CCL,CCL Products (India) Limited 
219,CEATLTD,CEAT Limited 
220,CEBBCO,Commercial Engineers & Body Builders Co Limited 
221,CELESTIAL,Celestial Biolabs Limited 
222,CENTENKA,Century Enka Limited 
223,CENTEXT,Century Extrusions Limited 
224,CENTRALBK,Central Bank of India 
225,CENTUM,Centum Electronics Limited 
226,CENTURYPLY,Century Plyboards (India) Limited 
227,CENTURYTEX,Century Textiles & Industries Limited 
228,CERA,Cera Sanitaryware Limited 
229,CESC,CESC Limited 
230,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited 
231,CHEMFALKAL,Chemfab Alkalis Limited 
232,CHEMPLAST,Chemplast Sanmar Limited 
233,CHENNPETRO,Chennai Petroleum Corporation Limited 
234,CHESLINTEX,Cheslind Textiles Limited 
235,CHETTINAD,Chettinad Cement Corporation Limited 
236,CHOLAFIN,Cholamandalam Investment and Finance Company Limited 
237,CILNOVA,CIL Nova Petrochemicals Limited 
238,CINEMAX,Cinemax India Limited 
239,CINEVISTA,Cinevistaas Limited 
240,CIPLA,Cipla Limited 
241,CLASSIC,Classic Diamonds (India) Limited 
242,CLNINDIA,Clariant Chemicals (India) Limited 
243,CLUTCHAUTO,Clutch Auto Limited 
244,CMAHENDRA,C. Mahendra Exports Limited 
245,CMC,CMC Limited 
246,COALINDIA,Coal India Limited 
247,COLPAL,Colgate Palmolive (India) Limited 
248,CONCOR,Container Corporation of India Limited 
249,CONSOFINVT,Consolidated Finvest & Holdings Limited 
250,CORAL-HUB,Coral Hub Limited 
251,CORDSCABLE,Cords Cable Industries Limited 
252,COREPROTEC,Core Projects and Technologies Limited 
253,COROMANDEL,Coromandel International Limited 
254,CORPBANK,Corporation Bank 
255,COSMOFILMS,Cosmo Films Limited 
256,COX&KINGS,Cox & Kings Limited 
257,CPIL,Career Point Infosystems Limited 
258,CREATIVEYE,Creative Eye Limited 
259,CRESTANI,Crest Animation Studios Limited 
260,CREWBOS,Crew B.O.S. Products Limited 
261,CRISIL,CRISIL Limited 
262,CROMPGREAV,Crompton Greaves Limited 
263,CRONIMET,Cronimet Alloys India Limited 
264,CTE,Cambridge Technology Enterprises Limited 
265,CUB,City Union Bank Limited 
266,CUBEXTUB,Cubex Tubings Limited 
267,CUMMINSIND,Cummins India Limited 
268,CURATECH,Cura Technologies Limited 
269,CYBERMEDIA,Cyber Media (India) Limited 
270,CYBERTECH,Cybertech Systems And Software Limited 
271,DAAWAT,LT Foods Limited 
272,DABUR,Dabur India Limited 
273,DALMIASUG,Dalmia Bharat Sugar and Industries Limited 
274,DATAMATICS,Datamatics Global Services Limited 
275,DBCORP,D.B.Corp Limited 
276,DBREALTY,D B Realty Limited 
277,DCB,Development Credit Bank Limited 
278,DCHL,Deccan Chronicle Holdings Limited 
279,DCM,DCM Limited 
280,DCMSRMCONS,DCM Shriram Consolidated Limited 
281,DCW,DCW Limited 
282,DECCANCE,Deccan Cements Limited 
283,DECOLIGHT,Decolight Ceramics Limited 
284,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited 
285,DEEPAKNTR,Deepak Nitrite Limited 
286,DEEPIND,Deep Industries Limited 
287,DELTACORP,Delta Corp Limited 
288,DELTAMAGNT,Delta Magnets Limited 
289,DEN,Den Networks Limited 
290,DENABANK,Dena Bank 
291,DENORA,De Nora India Limited 
292,DEWANHOUS,Dewan Housing Finance Corporation Limited 
293,DHAMPURSUG,The Dhampur Sugar Mills Limited 
294,DHANBANK,Dhanlaxmi Bank Limited 
295,DHANUKA,Dhanuka Agritech Limited 
296,DHANUS,Dhanus Technologies Limited 
297,DHARSUGAR,Dharani Sugars & Chemicals Limited 
298,DHUNINV,Dhunseri Investments Limited 
299,DIAPOWER,Diamond Power Infra Ltd 
300,DICIND,DIC India Limited 
301,DIGJAM,Digjam Limited 
302,DISHMAN,Dishman Pharmaceuticals and Chemicals 
303,DISHTV,Dish TV India Limited 
304,DIVISLAB,Divi's Laboratories Limited 
305,DLF,DLF Limited 
306,DLINKINDIA,D-Link (India) Limited 
307,DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited 
308,DONEAR,Donear Industries Limited 
309,DPSCLTD,DPSC Limited 
310,DPTL,Dhunseri Petrochem & Tea Limited 
311,DQE,DQ Entertainment (International) Limited 
312,DREDGECORP,Dredging Corporation of India Limited 
313,DRREDDY,Dr. Reddy's Laboratories Limited 
314,DSKULKARNI,DS Kulkarni Developers Limited 
315,DUNCANSIND,Duncans Industries Limited 
316,DWARKESH,Dwarikesh Sugar Industries Limited 
317,DYNAMATECH,Dynamatic Technologies Limited 
318,DYNASYS,Dynacons Systems & Solutions Limited 
319,EASTSILK,Eastern Silk Industries Limited 
320,EASUNREYRL,Easun Reyrolle Limited 
321,ECEIND,ECE Industries Limited 
322,ECLERX,eClerx Services Limited 
323,EDELWEISS,Edelweiss Capital Limited 
324,EDL,Empee Distilleries Limited 
325,EDSERV,Edserv Softsystems Limited 
326,EDUCOMP,Educomp Solutions Limited 
327,EICHERMOT,Eicher Motors Limited 
328,EIDPARRY,EID Parry India Limited 
329,EIHAHOTELS,EIH Associated Hotels Limited 
330,EIHOTEL,EIH Limited 
331,EIMCOELECO,Eimco Elecon (India) Limited 
332,EKC,Everest Kanto Cylinder Limited 
333,ELDERPHARM,Elder Pharmaceuticals Limited 
334,ELECON,Elecon Engineering Company Limited 
335,ELECTCAST,Electrosteel Castings Limited 
336,ELECTHERM,Electrotherm (India) Limited 
337,ELGIEQUIP,Elgi Equipments Limited 
338,EMAMIINFRA,Emami Infrastructure Limited 
339,EMAMILTD,Emami Limited 
340,EMCO,Emco Limited 
341,EMKAY,Emkay Global Financial Services Limited 
342,EMMBI,Emmbi Polyarns Limited 
343,ENERGYDEV,Energy Development Company Limited 
344,ENGINERSIN,Engineers India Limited 
345,ENIL,Entertainment Network (India) Limited 
346,ENTEGRA,Entegra Limited 
347,ERAINFRA,Era Infra Engineering Limited 
348,EROSMEDIA,Eros International Media Limited 
349,ESABINDIA,Esab India Limited 
350,ESCORTS,Escorts Limited 
351,ESL,Electrosteel Steels Limited 
352,ESSAROIL,Essar Oil Limited 
353,ESSARPORTS,Essar Ports Limited 
354,ESSDEE,Ess Dee Aluminium Limited 
355,ESSELPACK,Essel Propack Limited 
356,ESTER,Ester Industries Limited 
357,EUROCERA,Euro Ceramics Limited 
358,EUROMULTI,Euro Multivision Limited 
359,EUROTEXIND,Eurotex Industries and Exports Limited 
360,EVEREADY,Eveready Industries India Limited 
361,EVERESTIND,Everest Industries Limited 
362,EVERONN,Everonn Education Limited 
363,EVINIX,Evinix Accessories Limited 
364,EXCELCROP,Excel Crop Care Limited 
365,EXCELINDUS,Excel Industries Limited 
366,EXCELINFO,Excel Infoways Limited 
367,EXIDEIND,Exide Industries Limited 
368,FACT,Fertilizers and Chemicals Travancore Limited 
369,FAGBEARING,FAG Bearings India Limited 
370,FAME,Fame India Limited 
371,FARMAXIND,Farmax India Limited 
372,FCH,Future Capital Holdings Limited 
373,FCSSOFT,FCS Software Solutions Limited 
374,FDC,FDC Limited 
375,FEDDERLOYD,Fedders Lloyd Corporation Limited 
376,FEDERALBNK,The Federal Bank Limited 
377,FIEMIND,Fiem Industries Limited 
378,FINANTECH,Financial Technologies (India) Limited 
379,FINCABLES,Finolex Cables Limited 
380,FINPIPE,Finolex Industries Limited 
381,FIRSTLEASE,First Leasing Company of India Limited 
382,FIRSTWIN,First Winner Industries Limited 
383,FKONCO,Fresenius Kabi Oncology Limited 
384,FMGOETZE,Federal-Mogul Goetze (India) Limited 
385,FORTIS,Fortis Healthcare (India) Limited 
386,FOSECOIND,Foseco India Limited 
387,FOURSOFT,Four Soft Limited 
388,FSL,Firstsource Solutions Limited 
389,FUTUREVENT,Future Ventures India Limited 
390,GABRIEL,Gabriel India Limited 
391,GAEL,Gujarat Ambuja Exports Limited 
392,GAIL,GAIL (India) Limited 
393,GAL,Gyscoal Alloys Limited 
394,GALLANTT,Gallantt Metal Limited 
395,GALLISPAT,Gallantt Ispat Limited 
396,GAMMNINFRA,Gammon Infrastructure Projects Limited 
397,GAMMONIND,Gammon India Limited 
398,GANDHITUBE,Gandhi Special Tubes Limited 
399,GANESHHOUC,Ganesh Housing Corporation Limited 
400,GARDENSILK,Garden Silk Mills Limited 
401,GARWALLROP,Garware Wall Ropes Limited 
402,GLOBOFFS,Global Offshore Services Limited 
403,GATI,GATI Limited 
404,GDL,Gateway Distriparks Limited 
405,GEECEE,GeeCee Ventures Limited 
406,GEINDSYS,GEI Industrial Systems Limited 
407,GEMINI,Gemini Communication Limited 
408,GENESYS,Genesys International Corporation Limited 
409,GENUSPOWER,Genus Power Infrastructures Limited 
410,GEODESIC,Geodesic Limited 
411,GEOJITBNPP,Geojit BNP Paribas Financial Services Limited 
412,GEOMETRIC,Geometric Limited 
413,GESHIP,The Great Eastern Shipping Company Limited 
414,GHCL,GHCL Limited 
415,GICHSGFIN,GIC Housing Finance Limited 
416,GILLANDERS,Gillanders Arbuthnot & Company Limited 
417,GILLETTE,Gillette India Limited 
418,GINNIFILA,Ginni Filaments Limited 
419,GIPCL,Gujarat Industries Power Company Limited 
420,GISOLUTION,GI Engineering Solutions Limited 
421,GITANJALI,Gitanjali Gems Limited 
422,GKWLIMITED,GKW Limited 
423,GLAXO,GlaxoSmithKline Pharmaceuticals Limited 
424,GLENMARK,Glenmark Pharmaceuticals Limited 
425,GLFL,Gujarat Lease Financing Limited 
426,GLOBALVECT,Global Vectra Helicorp Limited 
427,GLOBUSSPR,Globus Spirits Limited 
428,GLODYNE,Glodyne Technoserve Limited 
429,GLORY,Glory Polyfilms Limited 
430,GMBREW,GM Breweries Limited 
431,GMDCLTD,Gujarat Mineral Development Corporation Limited 
432,GMRINFRA,GMR Infrastructure Limited 
433,GNFC,Gujarat Narmada Valley Fertilizer Company Limited 
434,GOACARBON,Goa Carbon Limited 
435,GODFRYPHLP,Godfrey Phillips India Limited 
436,GODREJCP,Godrej Consumer Products Limited 
437,GODREJIND,Godrej Industries Limited 
438,GODREJPROP,Godrej Properties Limited 
439,GOENKA,Goenka Diamond and Jewels Limited 
440,GOKEX,Gokaldas Exports Limited 
441,GOKUL,Gokul Refoils and Solvent Limited 
442,GOLDENTOBC,Golden Tobacco Limited 
443,GOLDIAM,Goldiam International Limited 
444,GOLDINFRA,Goldstone Infratech Limited 
445,GOLDTECH,Goldstone Technologies Limited 
446,GPIL,Godawari Power And Ispat limited 
